,Tipo de accidente,Descripción del accidente
1794,Colisión de vehículos,"Accidente entre 2 vehículos por alcance lateral ocupando 2 carriles centrales. Con daños al patrimonio y sin heridos, se recogen restos (10 bolsas de servicio)."
1795,Colisión de vehículos,Accidente entre 3 vehículos por alcance ocupando el carril derecho. Cuando llega el vigilante quedan 2 vehículos implicados. Sin daños al patrimonio y 1 herido leve dado de alta en el punto. 1 vehículo se retira por sus medios y otro en su grúa.
1796,Colisión de vehículos,Accidente entre 4 vehículos por alcance ocupando el carril derecho. 1 herido leve trasladado por el Samur al hospital.
1797,Colisión de vehículos,"Colisión alcance carril izquierdo, a mi llegada jefe de turnolo pasa al arcén derecho, corto 1/4 de carril derecho, hasta retirada por sus medios una vez tomado datos."
1798,Salida de vía,"Aviso, salida de vía margen derecho con daños sin heridos."
1799,Salida de vía,"Salida de vía contra muro, sin heridos ni daños carril derecho, corto carril hasta retirada de este en frúa usuario."
1800,Colisión de vehículos,"Señalizar accidente por alcance sin daños a patrimonio y un herido trasladado al Clínico con pronóstico reservado, vehículo 1 grúas movilidad y vehículo 2 en su grúa seguro."
1801,Vuelco,"Vehículo con vuelco total, señalizamos y estabilizamos junto con bomberos. retira vehículo grúa movilidad."
1802,Colisión de vehículos,Colaborar con M-4 en accidente en carril derecho y lo retira  Ollero.
1803,Colisión de vehículos,Accidente en carril izqueirdo. Policía los saca a fuera de zona.
1804,Colisión de vehículos,"Aviso de C.T de accidetne por alcance, cuando llego esta solo Policía, se retiran por sus medios. No puedo tirar fotografia."
1805,Colisión de vehículos,"Golpe lateral a cambiar de carril, un vehiculo queda subido en mediana y es bajado por Bomberos. 3 heridos atendidos por Samur, 2 trasladados (personas mayores)"
1806,Colisión de vehículos,"Corto carril derecho, por accidente, Policia retira los vehiculos fuera de zona."
1807,Colisión de vehículos,Señalizar accidente en carril derecho.
1808,Colisión de vehículos,"Corto carril derecho por accidente , sin heridos."
1809,Colisión de vehículos,Corto carril derecho por accidente con heridos. 2 heridos trasladados vehiculo 4 
1810,Colisión de vehículos,"Accidente por alcance de dos vehículos, sin heridos, uno reanuda la marcha por sus medios y otro es retirado por grúa Lopez Ollero."
1811,Colisión de vehículos,Accidente en carril central.
1812,Colisión de vehículos,"Accidente por alcance dos vehículos, se cogen los datos u reanudan la marcha por sus propios medios."
1813,Colisión de vehículos,Accidente por alcance en carril derecho.
1814,Colisión de vehículos,"Accidente en carril derecho, herido leve dado de alta en el punto."
1815,Salida de vía,"Según PM es accidente. Vehículo parado, se lo lleva su grúa acompañante se desmaya, es trasladada por SAMUR, al hospital 12 de Octubre"
1816,Salida de vía,"Señalizar accidente salida de vía con daños a patrimonio y herido leve dado de alta en el lugar. El coductor manifiesta que pierde el control  del vehículo por tierra en ramal, reviso dicho raml con policía H-6121 y no hay tierra(está todo limpio), policía también lo anota en su parte de accidente."
1817,Colisión de vehículos,Señalizar vehículos averiados en carril derecho
1818,Colisión de vehículos,Corto carril derecho por accidente sin heridos
1819,Salida de vía,En el punto se encuentra el parachoques con la matrícula
1820,Colisión de vehículos,Accidente por alcance de dos vehículos sin heridos. Se cogen los datos y reanudan la marcha por sus medios. 
1821,Colisión de vehículos,"Accidente por alcance de dos coches. Antes de llegar se retiran los vehículos y me informa Policía en el punto cuando llego, que se han cogido los datos y se han marchado"
1822,Colisión de vehículos,Accidente en carril central. Herido leve dado de alta en el punto. 
1823,Colisión de vehículos,Señalizar accidente por alcance en carril derecho sin daños y con heridos trasladados al Hospital Ibermutua como leve
1825,Atropello,Señalizo atropello de peatón trasladado. Corto carril izquierdo e izquierdo central. Esperamos ITE viene y no interviene. 
1826,Salida de vía,Señalizar accidente caída de moto sin daños a patrimonio y herido trasladado al Hospital Jiménez Díaz sin pronóstico. Lo retira la grúa del seguro. 
1827,Colisión de vehículos,"Accidente alcance entre dos vehículos. Antes de nuestra llegada los vehículos reanudan la marcha y se anula la incidencia. No hay recogida de datos, ni fotos."
1828,Otros,"Exceso de gálibo de camión. Golepando en ventilador ZITRON del carril 3. El camión sigue circulando y vuelve a golpear con señal luminosa de fecha de carril y con ventilador ZITRON en ramal 14RN14. Las cámaras detectan su matricula 21PM57 (Portugal). Sólo tenemos el dato de la matrícula, ya que el camión no se para. Sale del tunel por ramal 14RN"
1829,Salida de vía,Salida de vía contra mediana. Queda en isleta. Conductor no se encuentra en el punto. 
1830,Colisión de vehículos,"Colisión de vehículos por alcance en carril izquierdo, sin heridos, salen por sus medios."
1831,Colisión de vehículos,"Accidente por alcance en ramal 07RN, sin heridos ni daños al patrimonio."
1832,Colisión de vehículos,"Accidente de 2 vehículos por alcance lateral con vuelco en carril derecho y central. 1 herido leve dado de alta, se traslada a un vehículo al carril bus del lado derecho."
1833,Colisión de vehículos,Accidente sin heridos en margen izquierdo.
1834,Colisión de vehículos,Accidente entre 3 vehículos por alcance en el carril derecho. Uno de los vehículos implicado es retirado en la grúa externa de M-30.
1835,Colisión de vehículos,"Accidente de 2 vehículos por alcance en el carril derecho, uno de los vehículos implicado se retira del punto antes de la llegada del vigilante. Sin heridos ni daños al patrimonio. "
1836,Salida de vía,"Accidente de 1 vehículo por salida de vía colisionado contra la salida de emergencia del 18RH11 causando daños en su estructura, posteriormente dicho vehículo se detiene en la isleta del 18RN74 y retirado del punto por la Plataforma C-10."
1837,Salida de vía,"Accidente de 1 vehículo por salida de vía, sin daños al patrimonio ni heridos, se señaliza junto con Policía Municipal."
1838,Salida de vía,Accidente de 1 vehículo por salida de vía hacía el lado derecho causando daños en barandilla. Sin heridos.
1840,Salida de vía,"Accidente de 1 vehículo por salida de vía golpeando contra muro y causando daños en el. Sin heridos, el vehículo es retirado por su grúa y el conductor se lo lleva la Policía Municipal."
1841,Salida de vía,Accidente de 1 vehículo por salida de vía ocupando el carril derecho después de colisionar contra el bordillo. Se señaliza hasta su retirada en su grúa.
1843,Salida de vía,"Accidente de 1 vehículo por salida de vía hacía el lado izquierdo, es trasladado al arcén derecho junto con Policía Municipal."
1844,Otros,"Accidente de 1 motorista por caída cuando frena encima de la flecha de la calzada, este resulta herido leve y dado de alta en el punto. Por orden de Policía Municipal se limpia el carril derecho (8 metros)."
1845,Salida de vía,Accidente de 1 vehículo por salida de vía que colisona contra el bordillo y se queda dado la vuelta en dirección contraria al tráfico. Se le cambia un neumático dañado y se retira por sus medios. 
1846,Salida de vía,"Accidente de 1 vehículo por salida de vía que realiza un trompo golpeando contra el bordillo del hastial izquierdo, se deja una rejilla y un guardabarros en el carril derecho que son retirados por los AIAM. Sin heridos ni daños al patrimonio. El vehículo se retira por sus medios."
1847,Salida de vía,"Accidente de 1 vehículo por salida de vía que impacta contra el bordillo derecho, 1 herido trasladado al hospital por el Samur. El vehículo es retirado por el Híbrido F-12 a la C/ Dante ya que la Plataforma C-10 se traslada a otra incidencia."
1848,Salida de vía,"Accidente de 1 vehículo por salida de vía hacía el lado izquierdo causando daños al patrimonio. Sin heridos, se corta el carril derecho."
1849,Colisión obstaculo,"Cortamos carril izquierdo, no hay daños al viario, lo cargamos con el híbrido y lo sacamos al exterior."
1850,Salida de vía,"Aviso de salida de vía carril izquierdo, se corta carril, no hay herido, con daños al patrimonio."
1851,Salida de vía,Corto carril izquierdo pos salida de vía sin daños ni heridos.
1852,Colisión de vehículos,"Corto carril derecho por accidente con daños lado derecho(muros desplazados),usuario vehículo 2, sale a colocar el triángulo de peligro y vehículo 1, colisiona contra usuario y muro de contención lado derecho, 2 hridos trasladados."
1853,Salida de vía,Accidente de 1 vehículo por salida de vía que impacta contra el bordillo izquierdo. Es sacado con la C-10 a la C/ Alejandro Dumas.
1854,Salida de vía,Accidente de 1 vehículo por salida de vía hacía el lado izquierdo. Sin heridos ni daños al patrimonio. Señalizando en el arcén derecho.
1855,Salida de vía,"Accidente de 1 vehículo por salida de vía hacía el lado izquierdo. Sin heridos ni daños al patrimonio, se limpian restos en calzada de dicho vehículo."
1858,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril izquierdo, cuando llega el vigilante solo queda 1 vehículo implicado parado en el carril izquierdo a la espera de su grúa."
1860,Salida de vía,"Accidente de 1 vehículo por salida de vía hacía el margen izquierdo, 1 herido leve dado de alta en el punto."
1861,Colisión de vehículos,Accidente por alcance entre 2 vehículos en carriles centrales. Sin heridos ni daños al patrimonio. Un vehículo es retirado por la grúa de movilidad y el otro por Lopez Ollero.
1862,Colisión de vehículos,"Accidente por alcance entre 2 vehículos ocupando el carril derecho, 1 herido leve dado de alta en el punto."
1863,Colisión de vehículos,Accidente por alcance entre 2 vehículos ocupando los carriles izquierdos hasta que son trasladados al arcen derecho.
1864,Colisión de vehículos,A nuestra llegada encontramos solo 2 vehiculos. Terminan de darse fdatos y salen por sus medios. Cortamos carril derecho y derecho central.
1865,Colisión de vehículos,Cortamos carril derecho. Colisión 3 vehiculos por alcance. Se marchan los 3 por sus medios.
1866,Salida de vía,"Vehiculo colisiona contra la mediana, la conductora al bajar del vehiculo queda inconsciente en el carril izquierdo. Se cortan 2 carriles. Samur y Policía abandonan la M-30 llevando el vehiculo al Puente de Ventas,fuera de la M-30"
1867,Colisión de vehículos,"Colisión alcance carril izquierdo, sin heridos, ni daños, corto carril hasta retirada de ambos por sus medios."
1868,Colisión de vehículos,Colisión alcance sin heridos ni daños carril derecho. Corto carril derecho hasta la retirada de estos por sus medios.
1869,Salida de vía,"Vehículo en vuelco lateral sobre su lado derecho. Policía en el punto.No necesitan corte.Bomberos en el punto, lo colocan sobre sus cuatro ruedas.Conductor y acompañante atendidos por Samur y dados de alta en el punto.Limpiamos la calzada de cristales.A petición de policía,dejamos el vehículo en el cebreado del 15RX."
1870,Colisión de vehículos,Aviso. Colisión en el margen derecho.
1871,Colisión de vehículos,"Corto carril derecho y central por accidente, vehiculo moto colisiona por alcance con vehiculo 2. herido trasladado con pronostico reservado."
1872,Colisión de vehículos,Accidente por alcance por vehículos sin heridos en carril izq Los paso al arcén dcho Veh 1 sala por sus medios veh 2 solicita su propia grúa
1873,Otros,Caida de motorista en carril derecho. Retira moto a arcen derecho. Es atendido por Samur. Dado de alta en ek punto.
1874,Colisión de vehículos,Accidente chapa. Señalizo con Policía.
1875,Colisión de vehículos,"Aviso de accidente carril derecho, cuando llego al punto se encuentra Policía, cuando estoy haciendo cuña, Policía me avisa que finaliza. No puedo tomar datos, n i foto."
1876,Colisión de vehículos,"olisión alcance sin heridos, ni daños arcen derecho, señalizo hasta retirada de ambos por sus medios."
1877,Colisión de vehículos,"Colisión alcance sin heridos, n idaños arcen derecho, corto 1/4carril derecho hasta que hacen parte amistoso. Se retrian todos por sus medios."
1878,Colisión de vehículos,"Colisión moto contra coche, con hericdos sin daños, 3 carriles derechos corto hasta que Samur atiende y traslada a usuario de moto al Gregorio Marañón con fractura de tobillo."
1879,Colisión de vehículos,"Accidente por alcance de 2 vehiculos en 14VE10, un ocupante es atendido por Samur y dado de alta, retiramos 1 vehiculo con C-10"
